"","BL11","BL12","BL21","BL22","CF11","CF12","CF21","CF22","POOL1","POOL2","POOL3","POOL4","S111","S112","S121","S122","S711","S712","S721","S722"
"tr|A0A140NDE6|A0A140NDE6_ECOBD",23138673.5813859,18571399.9084315,18933247.1065583,20327464.8852165,26714143.4034844,23954955.3150157,23126622.7081411,23390392.4792498,20616411.9890443,21380669.6941973,20832643.0634882,21164438.6197533,22185182.4484986,19903699.3958559,19640322.3078748,20048727.7010958,20162371.9116156,20016134.3866251,19230558.7203983,18121226.4742964
"tr|A0A140NDE8|A0A140NDE8_ECOBD",130161.609534809,80390.0404934852,94196.1763128054,103639.953606973,73986.6957237197,55316.6477137653,64526.5305584806,54505.75195517,68311.9500864469,70466.1884530366,71610.0747510153,67168.0637884682,28398.7412670107,32846.7883167742,39491.9717180831,30347.2472313889,55727.1538380452,56945.5884146307,66549.2505637871,41630.9474059739
"tr|A0A140NDE9|A0A140NDE9_ECOBD",3883354.91060328,3565877.9354945,4030649.60409898,4152935.02615354,3851985.87360769,3552336.8804644,3574304.47725692,3407338.43101949,3093813.64513427,3201731.04587285,3140699.15747109,3154845.53353603,2147273.14299445,2524400.59352022,2418962.36854135,2476713.82192314,2525249.99447177,2624474.39407763,2695776.35449014,2449472.47416744
"tr|A0A140NDF0|A0A140NDF0_ECOBD",11404281.9516531,11583131.7581292,10623790.0469682,10936798.5172736,14833513.248091,14300269.1191517,14947779.7545823,15525155.1555655,11522374.4291866,11682543.7554328,11658628.9317669,11546289.2528525,9788506.11270427,10891594.8773952,10450958.9330271,10469782.4032622,10744939.5517175,9544998.43093392,10708329.9182561,10209157.6985438
"tr|A0A140NDF4|A0A140NDF4_ECOBD",55936.9878127467,42199.3921728531,44045.8726932858,54910.5342763367,56950.0238089238,62237.3240781983,52913.7436173933,52726.2275951588,48425.8753056031,53906.1391918932,49806.8994268726,52525.1150706238,51667.0181209246,54666.9950927265,51918.0982603879,47727.5457136198,48586.306539229,43335.065331851,52319.2890643084,48690.341989185
"tr|A0A140NDF8|A0A140NDF8_ECOBD",2037810.3688616,2074868.68690965,2117614.07826121,2143385.17431954,2139754.51927032,2179360.04173262,2342632.18553009,2363590.47283639,1765558.82015132,1758329.82566092,1733015.76587391,1790872.87993833,1222793.62728658,1547382.74199047,1421805.93970264,1451063.37330206,1314845.56989776,1380235.98818857,1344318.07282289,1179978.35298074
"tr|A0A140NDF9|A0A140NDF9_ECOBD",224725.691662288,223403.027978343,228162.467105577,263598.355289792,288608.720424055,266496.406564523,256747.474063327,227626.940614219,192062.762636644,181941.160018212,187598.437600763,186405.485054093,183789.353954682,130986.563216988,177029.118091623,120627.440445986,127921.179969186,123566.362649471,129830.43560919,135078.034543634
"tr|A0A140NDG1|A0A140NDG1_ECOBD",733568.565682918,842887.755009821,927462.740086949,730405.555912672,684056.293619356,687112.174483586,624378.760888048,657080.898254119,569941.567248325,535022.038838406,552318.19771547,552645.408371261,290610.964589568,441126.823328399,379353.547637373,407858.390867966,350844.075126466,358271.345985083,393930.088715109,339445.419569687
"tr|A0A140NDG6|A0A140NDG6_ECOBD",1294852.52535805,1242101.53796979,1107283.15692218,1128590.23614006,1257772.53767905,1283950.31997941,1266351.0050266,1330750.84612614,1138865.24634457,1211718.78725987,1186837.47090886,1163746.56269558,1189711.09779181,1085147.15233135,1160782.55906091,1091431.30020297,1044510.32298137,1042963.66351852,1090017.34853383,1081331.52860815
"tr|A0A140NDG8|A0A140NDG8_ECOBD",41555.5440197103,27687.1555251042,33753.3252660876,41146.7303181182,56333.029973315,54590.5631962461,52895.4922316183,33663.8430177911,36359.9219793469,42069.1399182151,37091.8851230664,41337.1767744957,59279.3118124933,35466.0482815887,28469.5634883657,29154.6509129025,34293.7891708106,28378.5093767417,36032.3865132416,29406.3027118999
"tr|A0A140NDG9|A0A140NDG9_ECOBD",1060200.50270827,899826.53815889,818883.096796289,1192361.24595704,1163119.79003358,1088094.24089288,705639.803095039,1104131.13241294,889589.335662224,905438.283955721,877688.058722569,917339.560895376,767895.130618522,822210.728990769,561086.716174585,811263.638887792,808741.810244953,775217.410973584,801914.403619644,695869.146400906
"tr|A0A140NDH1|A0A140NDH1_ECOBD",30101094.4869565,28283587.1112024,29007140.5382138,28736520.2068939,26167393.9819796,25258345.2020717,24798798.271361,24131149.9901777,25777571.4711829,26498030.5014147,26156632.9468918,26118969.0257058,24298160.5813935,25155791.4592687,26060785.2978863,26018822.153884,24479509.1965679,25037716.4676883,24920785.5803404,23670790.9600741
